officer_id,po_race,po_sex,po_assigned_unit,po_district_number,allegations_investigated,investigative_findings,disciplinary_findings,complaint_id,officer_complaint_id
44679605,white,male,2500 25TH DISTRICT,25,Physical Abuse,No Sustained Findings,Not Applicable,15-0231,15-0231-44679605
44679605,white,male,2500 25TH DISTRICT,25,Departmental Violation,No Sustained Findings,Not Applicable,15-0231,15-0231-44679605
44679605,white,male,2500 25TH DISTRICT,25,Departmental Violation,Sustained Finding,Guilty Finding,15-0231,15-0231-44679605
16227247,white,male,3500 35TH DISTRICT,35,Departmental Violation,No Sustained Findings,Not Applicable,15-0232,15-0232-16227247
16227247,white,male,3500 35TH DISTRICT,35,Lack of Service,No Sustained Findings,Not Applicable,15-0232,15-0232-16227247
43082467,white,male,3500 35TH DISTRICT,35,Lack of Service,No Sustained Findings,Not Applicable,15-0232,15-0232-43082467
43082467,white,male,3500 35TH DISTRICT,35,Departmental Violation,Sustained Finding,No Guilty Findings,15-0232,15-0232-43082467
97827684,white,male,0300 03RD DISTRICT,3,Lack of Service,No Sustained Findings,Not Applicable,15-0233,15-0233-97827684
84107477,white,male,0300 03RD DISTRICT,3,Lack of Service,No Sustained Findings,Not Applicable,15-0233,15-0233-84107477
73464815,white,male,0600 06TH DISTRICT,6,Departmental Violation,No Sustained Findings,Not Applicable,15-0234,15-0234-73464815
28218995,white,male,1200 12TH DISTRICT,12,Criminal Allegation,No Sustained Findings,Not Applicable,15-0235,15-0235-28218995
28218995,white,male,1200 12TH DISTRICT,12,Departmental Violation,No Sustained Findings,Not Applicable,15-0235,15-0235-28218995
43894426,white,male,1500 15TH DISTRICT,15,Departmental Violation,No Sustained Findings,Not Applicable,15-0236,15-0236-43894426
14761430,black,male,1500 15TH DISTRICT,15,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0236,15-0236-14761430
14761430,black,male,1500 15TH DISTRICT,15,Unprofessional Conduct,Sustained Finding,Training/Counseling,15-0236,15-0236-14761430
95329152,latino,male,1500 15TH DISTRICT,15,Unprofessional Conduct,Sustained Finding,Training/Counseling,15-0236,15-0236-95329152
95329152,latino,male,1500 15TH DISTRICT,15,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0236,15-0236-95329152
71529504,white,female,1500 15TH DISTRICT,15,Criminal Allegation,No Sustained Findings,Not Applicable,15-0237,15-0237-71529504
71529504,white,female,1500 15TH DISTRICT,15,Departmental Violation,Sustained Finding,Training/Counseling,15-0237,15-0237-71529504
